price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
13300000.0,7420,4,2,3,yes,no,no,no,yes,2,yes,furnished
12250000.0,8960,4,4,4,yes,no,no,no,yes,3,no,furnished
12250000.0,9960,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished
12215000.0,7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished
11410000.0,7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished
10850000.0,7500,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished
10150000.0,8580,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished
10150000.0,16200,5,3,2,yes,no,no,no,no,0,no,unfurnished
9870000.0,8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished
9800000.0,5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished
9800000.0,13200,3,1,2,yes,no,yes,no,yes,2,yes,furnished
9681000.0,6000,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished
9310000.0,6550,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished
9240000.0,3500,4,2,2,yes,no,no,yes,no,2,no,furnished
9240000.0,7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished
9100000.0,6000,4,1,2,yes,no,yes,no,no,2,no,semi-furnished
9100000.0,6600,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished
8960000.0,8500,3,2,4,yes,no,no,no,yes,2,no,furnished
8890000.0,4600,3,2,2,yes,yes,no,no,yes,2,no,furnished
8855000.0,6420,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished
8750000.0,4320,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished
8680000.0,7155,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished
8645000.0,8050,3,1,1,yes,yes,yes,no,yes,1,no,furnished
8645000.0,4560,3,2,2,yes,yes,yes,no,yes,1,no,furnished
8575000.0,8800,3,2,2,yes,no,no,no,yes,2,no,furnished
8540000.0,6540,4,2,2,yes,yes,yes,no,yes,2,yes,furnished
8463000.0,6000,3,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished
8400000.0,8875,3,1,1,yes,no,no,no,no,1,no,semi-furnished
8400000.0,7950,5,2,2,yes,no,yes,yes,no,2,no,unfurnished
8400000.0,5500,4,2,2,yes,no,yes,no,yes,1,yes,semi-furnished
8400000.0,7475,3,2,4,yes,no,no,no,yes,2,no,unfurnished
8400000.0,7000,3,1,4,yes,no,no,no,yes,2,no,semi-furnished
8295000.0,4880,4,2,2,yes,no,no,no,yes,1,yes,furnished
8190000.0,5960,3,3,2,yes,yes,yes,no,no,1,no,unfurnished
8120000.0,6840,5,1,2,yes,yes,yes,no,yes,1,no,furnished
8080940.0,7000,3,2,4,yes,no,no,no,yes,2,no,furnished
8043000.0,7482,3,2,3,yes,no,no,yes,no,1,yes,furnished
7980000.0,9000,4,2,4,yes,no,no,no,yes,2,no,furnished
7962500.0,6000,3,1,4,yes,yes,no,no,yes,2,no,unfurnished
7910000.0,6000,4,2,4,yes,no,no,no,yes,1,no,semi-furnished
7875000.0,6550,3,1,2,yes,no,yes,no,yes,0,yes,furnished
7840000.0,6360,3,2,4,yes,no,no,no,yes,0,yes,furnished
7700000.0,6480,3,2,4,yes,no,no,no,yes,2,no,unfurnished
7700000.0,6000,4,2,4,yes,no,no,no,no,2,no,semi-furnished
7560000.0,6000,4,2,4,yes,no,no,no,yes,1,no,furnished
7560000.0,6000,3,2,3,yes,no,no,no,yes,0,no,semi-furnished
7525000.0,6000,3,2,4,yes,no,no,no,yes,1,no,furnished
7490000.0,6600,3,1,4,yes,no,no,no,yes,3,yes,furnished
7455000.0,4300,3,2,2,yes,no,yes,no,no,1,no,unfurnished
7420000.0,7440,3,2,1,yes,yes,yes,no,yes,0,yes,semi-furnished
7420000.0,7440,3,2,4,yes,no,no,no,no,1,yes,unfurnished
7420000.0,6325,3,1,4,yes,no,no,no,yes,1,no,unfurnished
7350000.0,6000,4,2,4,yes,yes,no,no,yes,1,no,furnished
7350000.0,5150,3,2,4,yes,no,no,no,yes,2,no,semi-furnished
7350000.0,6000,3,2,2,yes,yes,no,no,yes,1,no,semi-furnished
7350000.0,6000,3,1,2,yes,no,no,no,yes,1,no,unfurnished
7343000.0,11440,4,1,2,yes,no,yes,no,no,1,yes,semi-furnished
7245000.0,9000,4,2,4,yes,yes,no,no,yes,1,yes,furnished
7210000.0,7680,4,2,4,yes,yes,no,no,yes,1,no,semi-furnished
7210000.0,6000,3,2,4,yes,yes,no,no,yes,1,no,furnished
7140000.0,6000,3,2,2,yes,yes,no,no,no,1,no,semi-furnished
7070000.0,8880,2,1,1,yes,no,no,no,yes,1,no,semi-furnished
7070000.0,6240,4,2,2,yes,no,no,no,yes,1,no,furnished
7035000.0,6360,4,2,3,yes,no,no,no,yes,2,yes,furnished
7000000.0,11175,3,1,1,yes,no,yes,no,yes,1,yes,furnished
6930000.0,8880,3,2,2,yes,no,yes,no,yes,1,no,furnished
6930000.0,13200,2,1,1,yes,no,yes,yes,no,1,no,furnished
6895000.0,7700,3,2,1,yes,no,no,no,no,2,no,unfurnished
6860000.0,6000,3,1,1,yes,no,no,no,yes,1,no,furnished
6790000.0,12090,4,2,2,yes,no,no,no,no,2,yes,furnished
6790000.0,4000,3,2,2,yes,no,yes,no,yes,0,yes,semi-furnished
6755000.0,6000,4,2,4,yes,no,no,no,yes,0,no,unfurnished
6720000.0,5020,3,1,4,yes,no,no,no,yes,0,yes,unfurnished
6685000.0,6600,2,2,4,yes,no,yes,no,no,0,yes,furnished
6650000.0,4040,3,1,2,yes,no,yes,yes,no,1,no,furnished
6650000.0,4260,4,2,2,yes,no,no,yes,no,0,no,semi-furnished
6650000.0,6420,3,2,3,yes,no,no,no,yes,0,yes,furnished
6650000.0,6500,3,2,3,yes,no,no,no,yes,0,yes,furnished
6650000.0,5700,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
6650000.0,6000,3,2,3,yes,yes,no,no,yes,0,no,furnished
6629000.0,6000,3,1,2,yes,no,no,yes,no,1,yes,semi-furnished
6615000.0,4000,3,2,2,yes,no,yes,no,yes,1,no,semi-furnished
6615000.0,10500,3,2,1,yes,no,yes,no,yes,1,yes,furnished
6580000.0,6000,3,2,4,yes,no,no,no,yes,0,no,semi-furnished
6510000.0,3760,3,1,2,yes,no,no,yes,no,2,no,semi-furnished
6510000.0,8250,3,2,3,yes,no,no,no,yes,0,no,furnished
6510000.0,6670,3,1,3,yes,no,yes,no,no,0,yes,unfurnished
6475000.0,3960,3,1,1,yes,no,yes,no,no,2,no,semi-furnished
6475000.0,7410,3,1,1,yes,yes,yes,no,yes,2,yes,unfurnished
6440000.0,8580,5,3,2,yes,no,no,no,no,2,no,furnished
6440000.0,5000,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
6419000.0,6750,2,1,1,yes,yes,yes,no,no,2,yes,furnished
6405000.0,4800,3,2,4,yes,yes,no,no,yes,0,no,furnished
6300000.0,7200,3,2,1,yes,no,yes,no,yes,3,no,semi-furnished
6300000.0,6000,4,2,4,yes,no,no,no,no,1,no,semi-furnished
6300000.0,4100,3,2,3,yes,no,no,no,yes,2,no,semi-furnished
6300000.0,9000,3,1,1,yes,no,yes,no,no,1,yes,furnished
6300000.0,6400,3,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished
6293000.0,6600,3,2,3,yes,no,no,no,yes,0,yes,unfurnished
6265000.0,6000,4,1,3,yes,yes,yes,no,no,0,yes,unfurnished
6230000.0,6600,3,2,1,yes,no,yes,no,yes,0,yes,unfurnished
6230000.0,5500,3,1,3,yes,no,no,no,no,1,yes,unfurnished
6195000.0,5500,3,2,4,yes,yes,no,no,yes,1,no,semi-furnished
6195000.0,6350,3,2,3,yes,yes,no,no,yes,0,no,furnished
6195000.0,5500,3,2,1,yes,yes,yes,no,no,2,yes,furnished
6160000.0,4500,3,1,4,yes,no,no,no,yes,0,no,unfurnished
6160000.0,5450,4,2,1,yes,no,yes,no,yes,0,yes,semi-furnished
6125000.0,6420,3,1,3,yes,no,yes,no,no,0,yes,unfurnished
6107500.0,3240,4,1,3,yes,no,no,no,no,1,no,semi-furnished
6090000.0,6615,4,2,2,yes,yes,no,yes,no,1,no,semi-furnished
6090000.0,6600,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
6090000.0,8372,3,1,3,yes,no,no,no,yes,2,no,unfurnished
6083000.0,4300,6,2,2,yes,no,no,no,no,0,no,furnished
6083000.0,9620,3,1,1,yes,no,yes,no,no,2,yes,furnished
6020000.0,6800,2,1,1,yes,yes,yes,no,no,2,no,furnished
6020000.0,8000,3,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished
6020000.0,6900,3,2,1,yes,yes,yes,no,no,0,yes,unfurnished
5950000.0,3700,4,1,2,yes,yes,no,no,yes,0,no,furnished
5950000.0,6420,3,1,1,yes,no,yes,no,yes,0,yes,furnished
5950000.0,7020,3,1,1,yes,no,yes,no,yes,2,yes,semi-furnished
5950000.0,6540,3,1,1,yes,yes,yes,no,no,2,yes,furnished
5950000.0,7231,3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished
5950000.0,6254,4,2,1,yes,no,yes,no,no,1,yes,semi-furnished
5950000.0,7320,4,2,2,yes,no,no,no,no,0,no,furnished
5950000.0,6525,3,2,4,yes,no,no,no,no,1,no,furnished
5943000.0,15600,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
5880000.0,7160,3,1,1,yes,no,yes,no,no,2,yes,unfurnished
5880000.0,6500,3,2,3,yes,no,no,no,yes,0,no,unfurnished
5873000.0,5500,3,1,3,yes,yes,no,no,yes,1,no,furnished
5873000.0,11460,3,1,3,yes,no,no,no,no,2,yes,semi-furnished
5866000.0,4800,3,1,1,yes,yes,yes,no,no,0,no,unfurnished
5810000.0,5828,4,1,4,yes,yes,no,no,no,0,no,semi-furnished
5810000.0,5200,3,1,3,yes,no,no,no,yes,0,no,semi-furnished
5810000.0,4800,3,1,3,yes,no,no,no,yes,0,no,unfurnished
5803000.0,7000,3,1,1,yes,no,yes,no,no,2,yes,semi-furnished
5775000.0,6000,3,2,4,yes,no,no,no,yes,0,no,unfurnished
5740000.0,5400,4,2,2,yes,no,no,no,yes,2,no,unfurnished
5740000.0,4640,4,1,2,yes,no,no,no,no,1,no,semi-furnished
5740000.0,5000,3,1,3,yes,no,no,no,yes,0,no,semi-furnished
5740000.0,6360,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
5740000.0,5800,3,2,4,yes,no,no,no,yes,0,no,unfurnished
5652500.0,6660,4,2,2,yes,yes,yes,no,no,1,yes,semi-furnished
5600000.0,10500,4,2,2,yes,no,no,no,no,1,no,semi-furnished
5600000.0,4800,5,2,3,no,no,yes,yes,no,0,no,unfurnished
5600000.0,4700,4,1,2,yes,yes,yes,no,yes,1,no,furnished
5600000.0,5000,3,1,4,yes,no,no,no,no,0,no,furnished
5600000.0,10500,2,1,1,yes,no,no,no,no,1,no,semi-furnished
5600000.0,5500,3,2,2,yes,no,no,no,no,1,no,semi-furnished
5600000.0,6360,3,1,3,yes,no,no,no,no,0,yes,semi-furnished
5600000.0,6600,4,2,1,yes,no,yes,no,no,0,yes,semi-furnished
5600000.0,5136,3,1,2,yes,yes,yes,no,yes,0,yes,unfurnished
5565000.0,4400,4,1,2,yes,no,no,no,yes,2,yes,semi-furnished
5565000.0,5400,5,1,2,yes,yes,yes,no,yes,0,yes,furnished
5530000.0,3300,3,3,2,yes,no,yes,no,no,0,no,semi-furnished
5530000.0,3650,3,2,2,yes,no,no,no,no,2,no,semi-furnished
5530000.0,6100,3,2,1,yes,no,yes,no,no,2,yes,furnished
5523000.0,6900,3,1,1,yes,yes,yes,no,no,0,yes,semi-furnished
5495000.0,2817,4,2,2,no,yes,yes,no,no,1,no,furnished
5495000.0,7980,3,1,1,yes,no,no,no,no,2,no,semi-furnished
5460000.0,3150,3,2,1,yes,yes,yes,no,yes,0,no,furnished
5460000.0,6210,4,1,4,yes,yes,no,no,yes,0,no,furnished
5460000.0,6100,3,1,3,yes,yes,no,no,yes,0,yes,semi-furnished
5460000.0,6600,4,2,2,yes,yes,yes,no,no,0,yes,semi-furnished
5425000.0,6825,3,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished
5390000.0,6710,3,2,2,yes,yes,yes,no,no,1,yes,furnished
5383000.0,6450,3,2,1,yes,yes,yes,yes,no,0,no,unfurnished
5320000.0,7800,3,1,1,yes,no,yes,no,yes,2,yes,unfurnished
5285000.0,4600,2,2,1,yes,no,no,no,yes,2,no,semi-furnished
5250000.0,4260,4,1,2,yes,no,yes,no,yes,0,no,furnished
5250000.0,6540,4,2,2,no,no,no,no,yes,0,no,semi-furnished
5250000.0,5500,3,2,1,yes,no,yes,no,no,0,no,semi-furnished
5250000.0,10269,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
5250000.0,8400,3,1,2,yes,yes,yes,no,yes,2,yes,unfurnished
5250000.0,5300,4,2,1,yes,no,no,no,yes,0,yes,unfurnished
5250000.0,3800,3,1,2,yes,yes,yes,no,no,1,yes,unfurnished
5250000.0,9800,4,2,2,yes,yes,no,no,no,2,no,semi-furnished
5250000.0,8520,3,1,1,yes,no,no,no,yes,2,no,furnished
5243000.0,6050,3,1,1,yes,no,yes,no,no,0,yes,semi-furnished
5229000.0,7085,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
5215000.0,3180,3,2,2,yes,no,no,no,no,2,no,semi-furnished
5215000.0,4500,4,2,1,no,no,yes,no,yes,2,no,semi-furnished
5215000.0,7200,3,1,2,yes,yes,yes,no,no,1,yes,furnished
5145000.0,3410,3,1,2,no,no,no,no,yes,0,no,semi-furnished
5145000.0,7980,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
5110000.0,3000,3,2,2,yes,yes,yes,no,no,0,no,furnished
5110000.0,3000,3,1,2,yes,no,yes,no,no,0,no,unfurnished
5110000.0,11410,2,1,2,yes,no,no,no,no,0,yes,furnished
5110000.0,6100,3,1,1,yes,no,yes,no,yes,0,yes,semi-furnished
5075000.0,5720,2,1,2,yes,no,no,no,yes,0,yes,unfurnished
5040000.0,3540,2,1,1,no,yes,yes,no,no,0,no,semi-furnished
5040000.0,7600,4,1,2,yes,no,no,no,yes,2,no,furnished
5040000.0,10700,3,1,2,yes,yes,yes,no,no,0,no,semi-furnished
5040000.0,6600,3,1,1,yes,yes,yes,no,no,0,yes,furnished
5033000.0,4800,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
5005000.0,8150,3,2,1,yes,yes,yes,no,no,0,no,semi-furnished
4970000.0,4410,4,3,2,yes,no,yes,no,no,2,no,semi-furnished
4970000.0,7686,3,1,1,yes,yes,yes,yes,no,0,no,semi-furnished
4956000.0,2800,3,2,2,no,no,yes,no,yes,1,no,semi-furnished
4935000.0,5948,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
4907000.0,4200,3,1,2,yes,no,no,no,no,1,no,furnished
4900000.0,4520,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
4900000.0,4095,3,1,2,no,yes,yes,no,yes,0,no,semi-furnished
4900000.0,4120,2,1,1,yes,no,yes,no,no,1,no,semi-furnished
4900000.0,5400,4,1,2,yes,no,no,no,no,0,no,semi-furnished
4900000.0,4770,3,1,1,yes,yes,yes,no,no,0,no,semi-furnished
4900000.0,6300,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
4900000.0,5800,2,1,1,yes,yes,yes,no,yes,0,no,semi-furnished
4900000.0,3000,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
4900000.0,2970,3,1,3,yes,no,no,no,no,0,no,semi-furnished
4900000.0,6720,3,1,1,yes,no,no,no,no,0,no,unfurnished
4900000.0,4646,3,1,2,yes,yes,yes,no,no,2,no,semi-furnished
4900000.0,12900,3,1,1,yes,no,no,no,no,2,no,furnished
4893000.0,3420,4,2,2,yes,no,yes,no,yes,2,no,semi-furnished
4893000.0,4995,4,2,1,yes,no,yes,no,no,0,no,semi-furnished
4865000.0,4350,2,1,1,yes,no,yes,no,no,0,no,unfurnished
4830000.0,4160,3,1,3,yes,no,no,no,no,0,no,unfurnished
4830000.0,6040,3,1,1,yes,no,no,no,no,2,yes,semi-furnished
4830000.0,6862,3,1,2,yes,no,no,no,yes,2,yes,furnished
4830000.0,4815,2,1,1,yes,no,no,no,yes,0,yes,semi-furnished
4795000.0,7000,3,1,2,yes,no,yes,no,no,0,no,unfurnished
4795000.0,8100,4,1,4,yes,no,yes,no,yes,2,no,semi-furnished
4767000.0,3420,4,2,2,yes,no,no,no,no,0,no,semi-furnished
4760000.0,9166,2,1,1,yes,no,yes,no,yes,2,no,semi-furnished
4760000.0,6321,3,1,2,yes,no,yes,no,yes,1,no,furnished
4760000.0,10240,2,1,1,yes,no,no,no,yes,2,yes,unfurnished
4753000.0,6440,2,1,1,yes,no,no,no,yes,3,no,semi-furnished
4690000.0,5170,3,1,4,yes,no,no,no,yes,0,no,semi-furnished
4690000.0,6000,2,1,1,yes,no,yes,no,yes,1,no,furnished
4690000.0,3630,3,1,2,yes,no,no,no,no,2,no,semi-furnished
4690000.0,9667,4,2,2,yes,yes,yes,no,no,1,no,semi-furnished
4690000.0,5400,2,1,2,yes,no,no,no,no,0,yes,semi-furnished
4690000.0,4320,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
4655000.0,3745,3,1,2,yes,no,yes,no,no,0,no,furnished
4620000.0,4160,3,1,1,yes,yes,yes,no,yes,0,no,unfurnished
4620000.0,3880,3,2,2,yes,no,yes,no,no,2,no,semi-furnished
4620000.0,5680,3,1,2,yes,yes,no,no,yes,1,no,semi-furnished
4620000.0,2870,2,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
4620000.0,5010,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
4613000.0,4510,4,2,2,yes,no,yes,no,no,0,no,semi-furnished
4585000.0,4000,3,1,2,yes,no,no,no,no,1,no,furnished
4585000.0,3840,3,1,2,yes,no,no,no,no,1,yes,semi-furnished
4550000.0,3760,3,1,1,yes,no,no,no,no,2,no,semi-furnished
4550000.0,3640,3,1,2,yes,no,no,no,yes,0,no,furnished
4550000.0,2550,3,1,2,yes,no,yes,no,no,0,no,furnished
4550000.0,5320,3,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
4550000.0,5360,3,1,2,yes,no,no,no,no,2,yes,unfurnished
4550000.0,3520,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
4550000.0,8400,4,1,4,yes,no,no,no,no,3,no,unfurnished
4543000.0,4100,2,2,1,yes,yes,yes,no,no,0,no,semi-furnished
4543000.0,4990,4,2,2,yes,yes,yes,no,no,0,yes,furnished
4515000.0,3510,3,1,3,yes,no,no,no,no,0,no,semi-furnished
4515000.0,3450,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
4515000.0,9860,3,1,1,yes,no,no,no,no,0,no,semi-furnished
4515000.0,3520,2,1,2,yes,no,no,no,no,0,yes,furnished
4480000.0,4510,4,1,2,yes,no,no,no,yes,2,no,semi-furnished
4480000.0,5885,2,1,1,yes,no,no,no,yes,1,no,unfurnished
4480000.0,4000,3,1,2,yes,no,no,no,no,2,no,furnished
4480000.0,8250,3,1,1,yes,no,no,no,no,0,no,furnished
4480000.0,4040,3,1,2,yes,no,no,no,no,1,no,semi-furnished
4473000.0,6360,2,1,1,yes,no,yes,no,yes,1,no,furnished
4473000.0,3162,3,1,2,yes,no,no,no,yes,1,no,furnished
4473000.0,3510,3,1,2,yes,no,no,no,no,0,no,semi-furnished
4445000.0,3750,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
4410000.0,3968,3,1,2,no,no,no,no,no,0,no,semi-furnished
4410000.0,4900,2,1,2,yes,no,yes,no,no,0,no,semi-furnished
4403000.0,2880,3,1,2,yes,no,no,no,no,0,yes,semi-furnished
4403000.0,4880,3,1,1,yes,no,no,no,no,2,yes,unfurnished
4403000.0,4920,3,1,2,yes,no,no,no,no,1,no,semi-furnished
4382000.0,4950,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
4375000.0,3900,3,1,2,yes,no,no,no,no,0,no,unfurnished
4340000.0,4500,3,2,3,yes,no,no,yes,no,1,no,furnished
4340000.0,1905,5,1,2,no,no,yes,no,no,0,no,semi-furnished
4340000.0,4075,3,1,1,yes,yes,yes,no,no,2,no,semi-furnished
4340000.0,3500,4,1,2,yes,no,no,no,no,2,no,furnished
4340000.0,6450,4,1,2,yes,no,no,no,no,0,no,semi-furnished
4319000.0,4032,2,1,1,yes,no,yes,no,no,0,no,furnished
4305000.0,4400,2,1,1,yes,no,no,no,no,1,no,semi-furnished
4305000.0,10360,2,1,1,yes,no,no,no,no,1,yes,semi-furnished
4277000.0,3400,3,1,2,yes,no,yes,no,no,2,yes,semi-furnished
4270000.0,6360,2,1,1,yes,no,no,no,no,0,no,furnished
4270000.0,6360,2,1,2,yes,no,no,no,no,0,no,unfurnished
4270000.0,4500,2,1,1,yes,no,no,no,yes,2,no,furnished
4270000.0,2175,3,1,2,no,yes,yes,no,yes,0,no,unfurnished
4270000.0,4360,4,1,2,yes,no,no,no,no,0,no,furnished
4270000.0,7770,2,1,1,yes,no,no,no,no,1,no,furnished
4235000.0,6650,3,1,2,yes,yes,no,no,no,0,no,semi-furnished
4235000.0,2787,3,1,1,yes,no,yes,no,no,0,yes,furnished
4200000.0,5500,3,1,2,yes,no,no,no,yes,0,no,unfurnished
4200000.0,5040,3,1,2,yes,no,yes,no,yes,0,no,unfurnished
4200000.0,5850,2,1,1,yes,yes,yes,no,no,2,no,semi-furnished
4200000.0,2610,4,3,2,no,no,no,no,no,0,no,semi-furnished
4200000.0,2953,3,1,2,yes,no,yes,no,yes,0,no,unfurnished
4200000.0,2747,4,2,2,no,no,no,no,no,0,no,semi-furnished
4200000.0,4410,2,1,1,no,no,no,no,no,1,no,unfurnished
4200000.0,4000,4,2,2,no,no,no,no,no,0,no,semi-furnished
4200000.0,2325,3,1,2,no,no,no,no,no,0,no,semi-furnished
4200000.0,4600,3,2,2,yes,no,no,no,yes,1,no,semi-furnished
4200000.0,3640,3,2,2,yes,no,yes,no,no,0,no,unfurnished
4200000.0,5800,3,1,1,yes,no,no,yes,no,2,no,semi-furnished
4200000.0,7000,3,1,1,yes,no,no,no,no,3,no,furnished
4200000.0,4079,3,1,3,yes,no,no,no,no,0,no,semi-furnished
4200000.0,3520,3,1,2,yes,no,no,no,no,0,yes,semi-furnished
4200000.0,2145,3,1,3,yes,no,no,no,no,1,yes,unfurnished
4200000.0,4500,3,1,1,yes,no,yes,no,no,0,no,furnished
4193000.0,8250,3,1,1,yes,no,yes,no,no,3,no,semi-furnished
4193000.0,3450,3,1,2,yes,no,no,no,no,1,no,semi-furnished
